1 HOSPITAL, 4622
2 BELLAIRE, 7809
3 LANGLEY, 920
3 WEST GRAY, 723
4 BEECHNUT, 4754
5 KASHMERE, 1682
5 SOUTHMORE, 2229
6 JENSEN, 1565
6 TANGLEWOOD, 843
8 SOUTH MAIN, 3067
9 NORTH MAIN, 931
9 GULFTON, 1519
10 WILLOWBEND, 1224
11 ALMEDA, 1446
11 NANCE, 849
14 HIRAM CLARKE, 2562
15 FULTON, 2013
18 KIRBY, 1260
19 WILCREST, 1286
20 CANAL, 1794
20 LONG POINT, 2477
23 CROSSTIMBERS, 2018
24 NORTHLINE, 1999
25 RICHMOND, 5714
26 OUTER LOOP, 1915
27 INNER LOOP, 2144
29 TSU/UH HIRSCH, 1112
30 CLINTON, 576
30 CULLEN, 2811
32 RENWICK, 1098
33 POST OAK, 4822
34 MONTROSE, 528
36 KEMPWOOD, 1624
36 LAWNDALE, 1760
37 EL SOL, 399
38 MANCHESTER DOCKS, 80
40 PECORE, 2242
40 TELEPHONE, 3095
42 HOLMAN, 1636
44 ACRES HOMES, 2902
45 TIDWELL, 3315
46 GESSNER, 5330
47 HILLCROFT, 998
48 NAVIGATION, 511
49 CHIMNEY ROCK, 507
50 HARRISBURG, 3744
50 HEIGHTS, 2941
52 HIRSCH, 2885
52 SCOTT, 5600
53 BRIAR FOREST, 3928
56 AIRLINE, 4780
58 HAMMERLY, 860
59 ALDINE MAIL, 268
60 SOUTH MacGREGOR, 756
64 LINCOLN CITY, 161
65 BISSONNET, 5941
66 YALE, 1499
67 DAIRY ASHFORD, 753
68 BRAYS BAYOU, 4273
70 MEMORIAL, 417
72 WESTVIEW, 820
73 BELLFORT, 5174
75 ELDRIDGE, 400
77 LIBERTY, 1840
77 MLK, 3736
78 ALABAMA, 399
78 IRVINGTON, 887
79 WEST LITTLE YORK, 1242
80 DOWLING, 685
80 LYONS, 1117
81 WESTHEIMER-SHARPSTOWN, 4690
82 WESTHEIMER-WEST OAKS, 6232
83 LEE ROAD, 958
85 ANTOINE, 4007
86 FM1960, 3426
87 SUNNYSIDE / TMC, 2692
88 HOBBY AIRPORT, 2312
97 SETTEGAST, 357
98 BRIARGATE, 698
102 BUSH I.A.H, 2939
108 VETERANS MEMORIAL, 2591
131 MEMORIAL, 1656
132 HARWIN, 2267
137 NORTHSHORE, 2161
163 FONDREN, 8072
170 MISSOURI CITY / TMC, 766
202 KUYKENDAHL, 1947
204 SPRING, 1365
209 NORTH FREEWAY, 549
212 SETON LAKE, 660
214 NORTHWEST STATION, 2341
216 WEST LITTLE YORK - PINEMONT, 657
217 CYPRESS, 1649
219 NORTHWEST FREEWAY, 253
221 KINGSLAND, 2434
222 GRAND PARKWAY, 861
228 ADDICKS, 1941
229 KATY FREEWAY, 469
236 MAXEY ROAD, 481
236 SAN JACINTO / BAYTOWN, 113
244 MONROE, 457
246 BAY AREA, 1867
247 FUQUA, 953
249 GULF FREEWAY, 392
255 KINGWOOD, 994
256 EASTEX, 851
257 TOWNSEN, 977
259 EASTEX FREEWAY, 280
261 WEST LOOP, 395
262 WESTWOOD, 663
265 WEST BELLFORT, 2447
269 SOUTHWEST FREEWAY, 19
274 WESTCHASE/GESSNER, 480
283 KUYKENDAHL/GREENWAY, 403
285 KINGSLAND-UPTOWN, 171
292 WEST BELLFORT-WESTWOOD/TMC, 602
297 SOUTHPOINT-MONROE/TMC, 927
298 KINGSLAND-ADDICKS-NWTC/TMC, 1274
302 POLK SHUTTLE, 56
303 WEST SHUTTLE, 269
304 KASHMERE SHUTTLE, 87
305 HIRAM CLARKE SHUTTLE, 91
306 FALLBROOK SHUTTLE, 94
308 NORTHWEST SHUTTLE, 93
352 SWINGLE SHUTTLE, 240
402 BELLAIRE QUICKLINE, 673
412 GREENLINK CIRCULATOR, 941
426 TMC SWIFTLINE, 228
